,diravg,dirmax,dmgarea,dmgmoney,exintgtm,extingdt,humidcurr,humidmin,humidrel,ocurcause,ocurdo,ocurdt,ocuremd,ocurgm,ocurjibun,ocurri,ocursgg,ocuryoil,ownersec,rainamount,raindays,riskavg,riskmax,tempavg,windavg,windmax
0,SE,S,0.19,0,300,201406191800,0.0,0.0,57.0,쓰레기소각,강원,201406191500,남,북부,산226-1,남전,인제,목, ,0.5,6,0.0,0.0,23.6,1.9,5.6
1,NNE,SE,0.08,0,210,201406182015,0.0,0.0,46.0,담뱃불실화 추정,경남,201406181805,삼랑진,경남,산123-1,미전,밀양,수, ,1.5,6,0.0,0.0,29.6,2.4,4.0
2,NW,SSW,0.05,0,310,201406151720,0.0,0.0,57.0,도로공사(용접불티)비화,강원,201406151410,인제,강원,산70,가아,인제,일, ,0.5,2,0.0,0.0,29.3,1.3,6.7
3,WNW,W,0.03,0,140,201406141900,0.0,0.0,46.0,등산객실화 추정,전북,201406141720,보안,전북,산65,신복,부안,토, ,1.5,3,0.0,0.0,25.3,3.3,7.8
4,NNE,SSE,0.01,0,242,201406102000,0.0,0.0,40.0,낙뢰추정,강원,201406101718,흥업,북부,산66,매지,원주,화, ,0.5,1,0.0,0.0,22.3,2.0,9.9
5,E,E,0.01,0,210,201406061700,0.0,0.0,28.0,입산자실화 추정,충북,201406061450,봉양,충북,산77-1,미당,제천,금, ,2.0,3,0.0,0.0,28.7,2.9,7.7
6,N,S,0.1,0,625,201406021505,0.0,0.0,75.0,입산자실화 추정,경북,201406020840,송라,경북,산97,중산,포항 북,월, ,4.9,5,0.0,0.0,22.7,1.9,3.7
7,W,ESE,0.01,0,744,201406020730,0.0,0.0,29.0,입산자실화,서울,201406012346,진관,북부,산34, ,은평,일, ,1.5,6,0.0,0.0,23.5,1.3,0.9
8,SSW,N,0.1,0,405,201406020150,0.0,0.0,51.0,쓰레기소각,강원,201406012145,갑천,강원,산90-1,상대,횡성,일, ,5.0,6,0.0,0.0,25.4,1.1,1.9
9,SE,NNW,0.1,0,410,201406010930,0.0,0.0,14.0,입산자실화 추정,경북,201406010520,보문,경북,산17,오암,예천,일, ,3.5,6,0.0,0.0,19.2,1.0,1.7
10,NW,WSW,0.01,0,150,201405311940,0.0,0.0,35.0,등산객 담뱃불실화 추정,충북,201405311750,문광,중부,산16,흑석,괴산,토, ,10.6,5,0.0,0.0,31.9,3.2,4.5
11,NNE,WSW,0.9,0,202,201405311904,0.0,0.0,25.0,밭두렁소각,강원,201405311702,미탄,동부,산1-2,평안,평창,토, ,6.5,5,0.0,0.0,32.4,7.9,5.6
12,W,NNW,0.18,0,500,201405310100,0.0,0.0,48.0,입산자실화,충북,201405302000,내수,중부,산14,묵방,청원,금, ,5.5,4,0.0,0.0,28.8,1.4,1.0
13,WNW,N,0.15,0,140,201405301740,0.0,0.0,48.0,농산폐기물소각,경북,201405301600,농소,경북,산38-1,신촌,김천,금, ,0.5,4,0.0,0.0,35.0,3.6,3.3
14,S,NW,0.5,0,126,201405301610,0.0,0.0,68.0,밭두렁소각,대전,201405301444,삼괴,충남,산27-15, ,동,금, ,4.9,4,0.0,0.0,31.6,2.9,4.8
15,WNW,NNW,0.1,0,240,201405301400,0.0,0.0,34.0,벌채잔존목 소각,전북,201405301120,색장,전북,산157, ,전주 완산,금, ,0.5,2,0.0,0.0,30.5,2.1,3.7
16,NNW,NW,0.25,0,400,201405301400,0.0,0.0,24.0,무속행위,강원,201405301000,도계,동부,산182-1,점,삼척,금, ,5.0,2,0.0,0.0,27.6,3.5,5.3
17,W,SSW,0.1,0,747,201405300200,0.0,0.0,37.0,쓰레기소각,경기,201405291813,풍도,경기,산268, ,안산 단원,목, ,2.2,3,0.0,0.0,27.3,3.4,5.0
18,W,WNW,0.03,0,205,201405291845,0.0,0.0,28.0,쓰레기소각,경북,201405291640,영순,경북,산74,말응,문경,목, ,12.5,3,0.0,0.0,31.1,2.9,5.4
19,SE,SSW,0.02,0,138,201405291435,0.0,0.0,46.0,원인미상,경기,201405291257,일동,경기,산60-3,기산,포천,목, ,20.8,4,0.0,0.0,29.3,2.3,7.1
20,SSE,SSW,0.1,0,325,201405281905,0.0,0.0,86.0,입산자실화,강원,201405281540,남,북부,산29-1,명곶,양구,수, ,2.0,2,0.0,0.0,29.4,1.4,5.5
21,SW,ESE,0.1,0,146,201405281415,0.0,0.0,47.0,훈련중 부상자 구조신호,경북,201405281229,장기,경북,산577,산서,포항 남,수, ,1.3,3,0.0,0.0,28.3,3.0,5.0
22,WNW,SW,0.6,0,300,201405271720,0.0,0.0,36.0,논두렁소각,경북,201405271420,부항,경북,산30,월곡,김천,화, ,0.5,1,0.0,0.0,31.7,4.0,9.3
23,NW,N,0.2,0,145,201405271420,0.0,0.0,91.0,쓰레기소각,경북,201405271235,임동,경북,산158-8,마령,안동,화, ,3.5,1,0.0,0.0,26.5,3.6,8.2
24,W,WNW,0.3,0,200,201405261410,0.0,0.0,76.0,산나물채취자 실화 추정,강원,201405261210,근덕,강원,산75-6,교곡,삼척,월, ,1.0,1,0.0,0.0,26.1,4.7,11.8
25,S,WNW,0.7,0,224,201405251300,0.0,0.0,46.0,농산폐기물소각,경북,201405251036,감포,경북,산167-1,노동,경주,일, ,13.0,13,0.0,0.0,25.1,4.9,8.6
