발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,관측일
2014,01,4,13:18,토,2014,1,4,16:10,경북,경북,성주,초전,용봉,입,입산자 실화 추정,,0.2,2014014
2014,01,9,15:57,목,2014,1,9,16:30,경북,경북,포항 남,장기,두원,기,논밭두렁 소각,,0.1,2014019
2014,01,13,12:50,월,2014,1,13,14:40,강원,강원,화천,상서,파포,기,농산폐기물 소각,,0.15,20140113
2014,01,14,12:15,화,2014,1,14,15:00,경북,경북,영주,평은,강동,기,산림연접지에서 농산폐기물 소각 부주의,,0.1,20140114
2014,01,15,16:23,수,2014,1,15,17:40,동부,강원,삼척,도계,흥전,입,입산자 실화 추정,,0.1,20140115
2014,01,15,15:00,수,2014,1,15,16:00,경북,경북,안동,길안,금곡,쓰,쓰레기 소각,,0.2,20140115
2014,01,15,13:20,수,2014,1,15,15:20,경북,경북,문경,산북,이곡,쓰,기타(직접입력),폐타이어소각,0.1,20140115
2014,01,16,10:40,목,2014,1,16,14:00,동부,강원,정선,북평,숙암,입,입산자(수렵인)실화 추정,,0.2,20140116
2014,01,18,18:55,토,2014,1,18,22:00,경북,경북,영주,안정,묵,쓰,집쓰레기 소각 부주의,,0.01,20140118
2014,01,19,19:50,일,2014,1,19,20:45,강원,강원,원주,신림,성산,담,담뱃불 추정,,0.02,20140119
2014,01,21,15:55,화,2014,1,21,16:50,경북,경북,청도,청도,거연,기,성묘객 실화 추정,,0.1,20140121
2014,01,21,15:00,화,2014,1,21,16:00,경북,경북,경주,건천,화천,쓰,쓰레기 소각,,0.02,20140121
2014,01,21,14:41,화,2014,1,21,17:40,경북,경북,포항 북,기계,구지,담,담뱃불 실화 추정,,0.1,20140121
2014,01,23,14:43,목,2014,1,23,16:30,경북,경북,성주,금수,무학,입,입산자 실화 추정,,0.2,20140123
2014,01,25,03:50,토,2014,1,25,05:15,경북,경북,안동,서후,자품,쓰,쓰레기 소각,,0.02,20140125
2014,01,29,14:10,수,2014,1,29,15:30,경북,경북,울진,죽변,화성,쓰,쓰레기 소각,,0.1,20140129
2014,01,29,12:30,화,2014,1,29,14:30,경북,경북,경주,양남,신서,쓰,쓰레기 소각,,0.3,20140129
2014,01,29,12:20,화,2014,1,29,12:50,경북,경북,성주,수륜,계정,입,입산자 실화,,0.05,20140129
2014,01,31,14:17,공,2014,1,31,16:36,경북,경북,영천,자양,성곡,기,성묘객 실화 추정,,0.6,20140131
2014,01,31,12:35,공,2014,1,31,15:00,경북,경북,경주,양북,장항,기,성묘객 실화,,0.05,20140131
2014,01,31,12:50,공,2014,1,31,14:30,경북,경북,상주,외서,연봉,입,입산자 실화,,0.01,20140131
2014,02,1,19:00,공,2014,2,1,19:30,남부,경북,영양,영양,기산,건,주택화재로 인한 비화,,0.01,2014021
2014,02,2,11:50,일,2014,2,2,13:50,경북,경북,칠곡,지천,낙산,입,입산자 실화 추정,,0.01,2014022
2014,02,3,15:02,월,2014,2,3,15:20,경북,경북,포항 북,홍해,학천,입,입산자 실화 추정,,0.01,2014023
2014,02,3,08:49,월,2014,2,3,10:30,경북,경북,경주,배,,입,입산자 실화 추정,,2.2,2014023
2014,02,4,19:35,화,2014,2,4,21:40,강원,강원,양양,양양,화일,건,주택화재로 인한 비화,,0.5,2014024
2014,02,4,19:30,화,2014,2,4,21:00,경북,경북,예천,예천,대심,기,원인미상,,0.1,2014024
2014,02,5,15:00,수,2014,2,5,15:50,경북,경북,안동,와룡,나소,건,주택화재에서 번짐,,0.01,2014025
2014,02,5,14:29,수,2014,2,5,15:39,경북,경북,영천,화남,귀호,쓰,쓰레기 소각,,0.05,2014025
2014,02,7,16:00,금,2014,2,7,17:05,경북,경북,안동,녹전,원천,기,논밭두렁 소각,,0.1,2014027
2014,02,14,17:30,금,2014,2,14,18:30,경북,경북,칠곡,지천,낙산,입,입산자 실화,,0.01,20140214
2014,02,16,14:25,일,2014,2,16,15:45,경북,경북,청도,매전,동산,기,농산폐기물 소각,,0.1,20140216
2014,02,18,07:00,화,2014,2,18,08:40,경북,경북,상주,낙동,내곡,입,입산자 실화 추정,,0.02,20140218
2014,02,21,13:30,금,2014,2,21,14:35,경북,경북,영양,청기,당,기,농산폐기물 소각,,0.05,20140221
2014,02,23,13:00,일,2014,2,23,14:10,경북,경북,영양,일월,도곡,담,선택,,0.02,20140223
2014,02,25,11:48,화,2014,2,25,12:30,경북,경북,상주,사범,목가,기,농산폐기물 소각,,0.01,20140225
2014,02,26,10:55,수,2014,2,26,12:55,경북,경북,안동,풍천,금계,입,입산자실화 추정(약초꾼),,0.1,20140226
2014,02,27,12:30,목,2014,2,27,13:45,강원,강원,횡성,우천,하대,기,논밭두렁 소각,,0.25,20140227
2014,03,2,18:55,일,2014,3,2,21:00,경북,경북,안동,서후,태장,기,논밭두렁 소각,,0.5,2014032
2014,03,2,18:00,일,2014,3,2,18:45,경북,경북,상주,화북,입석,쓰,쓰레기 소각,,0.02,2014032
2014,03,2,13:15,일,2014,3,2,14:20,경북,경북,문경,산양,반곡,기,농산폐기물 소각,,0.3,2014032
2014,03,3,14:12,월,2014,3,3,15:00,강원,강원,원주,관설,,기,논밭두렁 소각,,0.06,2014033
2014,03,3,11:43,월,2014,3,3,12:50,강원,강원,원주,흥업,매지,기,논밭두렁 소각,,0.1,2014033
2014,03,5,13:28,수,2014,3,5,17:15,경북,경북,구미,해평,송곡,기,원인미상,,0.7,2014035
2014,03,5,12:50,수,2014,3,5,14:00,경북,경북,군위,소보,보현,기,성묘객 실화(취사행위),,0.1,2014035
2014,03,5,15:07,수,2014,3,5,16:30,강원,강원,춘천,남,가정,기,농산폐기물 소각,,0.01,2014035
2014,03,5,16:25,수,2014,3,5,18:00,경북,경북,영주,평은,지곡,기,농산폐기물 소각,,0.03,2014035
2014,03,5,20:25,수,2014,3,5,21:20,경북,경북,영주,영주,,입,입산자 실화(추정),,0.02,2014035
2014,03,7,15:10,금,2014,3,7,16:45,강원,강원,홍천,북방,북방,기,굴뚝불씨연소,,0.2,2014037
2014,03,7,13:37,금,2014,3,7,15:00,강원,강원,춘천,서,당림,기,용접불씨연소,,0.05,2014037
2014,03,7,11:50,금,2014,3,7,17:30,강원,강원,영월,김삿갓,진별,기,농산폐기물 소각,,2.0,2014037
2014,03,8,16:30,토,2014,3,9,17:00,경북,경북,성주,수륜,수륜,입,입산자 실화 추정,,11.0,2014038
2014,03,8,14:48,토,2014,3,8,15:20,경북,경북,문경,산양,형천,쓰,생활쓰레기 소각,,0.15,2014038
2014,03,9,10:25,일,2014,3,9,11:30,남부,경북,울진,온정,덕인,입,입산자 실화,,0.01,2014039
2014,03,10,15:20,월,2014,3,10,16:35,경북,경북,안동,풍산,만운,기,논밭두렁 소각(추정),,0.1,20140310
2014,03,10,10:23,월,2014,3,10,12:45,강원,강원,화천,화천,아,기,농산폐기물소각 추정,,0.12,20140310
2014,03,11,10:05,화,2014,3,11,11:00,경북,경북,경산,용성,고죽,기,논밭두렁 소각,,0.05,20140311
2014,03,11,13:16,화,2014,3,11,15:00,경북,경북,예천,지보,수월,기,농산폐기물 소각,,0.2,20140311
2014,03,11,19:31,화,2014,3,11,21:35,경북,경북,문경,산양,부암,입,입산자 실화 추정,,0.5,20140311
2014,03,11,16:50,화,2014,3,11,17:50,강원,강원,원주,귀래,용암,입,입산자 실화,,0.06,20140311
2014,03,11,15:20,화,2014,3,11,17:30,경북,경북,청도,매전,동산,기,사찰건립 현장 굴삭기 스파크로 발화,,0.5,20140311
2014,03,11,13:29,화,2014,3,11,15:48,경북,경북,영천,임고,선원,쓰,쓰레기 소각,,0.18,20140311
2014,03,17,18:52,월,2014,3,17,21:20,경북,경북,영주,장수,호문,기,논밭두렁 소각,,0.1,20140317
2014,03,17,20:35,월,2014,3,17,22:20,경북,경북,영주,이산,두월,기,논밭두렁 소각,,0.06,20140317
2014,03,23,17:30,일,2014,3,23,18:22,경북,경북,상주,화서,달천,입,입산자실화,,0.01,20140323
2014,03,23,17:00,일,2014,3,23,17:50,경북,경북,안동,와룡,이상,기,비닐하우스 가스폭발,,0.2,20140323
2014,03,23,13:40,일,2014,3,23,14:20,경북,경북,상주,화산,,기,논밭두렁 소각,,0.1,20140323
2014,03,23,12:45,일,2014,3,23,14:30,남부,경북,김해,장유,,기,원인미상,,0.2,20140323
2014,03,23,15:50,일,2014,3,23,17:30,경북,경북,군위,군위,무성,입,입산자 실화,,0.1,20140323
2014,03,24,19:14,월,2014,3,24,20:20,강원,강원,양양,강현,전진,기,기타(직접입력),전선스파크 추정,0.3,20140324
2014,03,24,16:27,월,2014,3,24,17:10,북부,강원,홍천,두촌,자은,기,전기누전추정,,0.2,20140324
2014,03,24,13:33,월,2014,3,24,15:38,경북,경북,예천,풍양,풍신,기,논밭두렁 소각,,1.8,20140324
2014,03,24,12:40,월,2014,3,24,13:40,경북,경북,안동,운안,,기,농산폐기물 소각,,0.02,20140324
2014,03,27,18:29,목,2014,3,27,20:35,동부,강원,평창,용평,노동,기,기타(직접입력),원인미상,0.15,20140327
2014,03,27,17:29,목,2014,3,27,18:37,강원,강원,홍천,서,모곡,기,작업장실화,,0.2,20140327
2014,03,27,15:48,목,2014,3,27,17:00,강원,강원,철원,갈말,문혜,입,기타(직접입력),입산자실화 추정,0.03,20140327
2014,03,27,14:15,목,2014,3,27,16:02,남부,경북,영주,풍기,삼가,기,기타(직접입력),조사중,0.01,20140327
2014,03,28,12:51,금,2014,3,28,13:40,경북,경북,상주,사벌,덕가,입,기타(직접입력),입산자 실화추정,0.1,20140328
2014,04,1,13:50,화,2014,4,1,14:50,강원,강원,횡성,서원,금대,기,기타(직접입력),전기누전,0.2,2014041
2014,04,1,12:30,화,2014,4,1,13:22,경북,경북,상주,외서,예의,기,논밭두렁소각,,0.03,2014041
2014,04,2,12:00,수,2014,4,2,13:16,경북,경북,상주,이안,지산,기,기타(직접입력),묘소 둑 잡초소각,0.05,2014042
2014,04,6,14:15,일,2014,4,6,15:10,경북,경북,성주,선남,도홍,입,입산자 실화추정,,0.05,2014046
2014,04,7,15:12,월,2014,4,7,15:56,경북,경북,상주,청리,청하,기,성묘객 실화추정,,0.01,2014047
2014,04,8,15:30,화,2014,4,8,16:15,경북,경북,안동,북후,옹천리,건,주택화재비화,,0.2,2014048
2014,04,8,10:30,화,2014,4,8,12:15,경북,경북,상주,모동,반계,기,농산폐기물소각,,0.2,2014048
2014,04,9,14:30,수,2014,4,9,19:00,경북,경북,성주,수륜,작은,입,기타(직접입력),입산자 실화(담뱃불),0.3,2014049
2014,04,9,14:00,수,2014,4,9,15:05,강원,강원,영월,수주,운학,쓰,쓰레기소각,,1.42,2014049
2014,04,10,15:10,목,2014,4,10,15:50,강원,강원,철원,갈말,문혜,입,입산자 실화추정,,0.03,20140410
2014,04,10,13:10,목,2014,4,10,14:19,북부,강원,양구,남,청하,담,담뱃불 투기,,0.05,20140410
2014,04,11,16:46,금,2014,4,11,18:10,강원,강원,원주,지정,판대,입,입산자 실화추정,,0.1,20140411
2014,04,11,15:09,금,2014,4,11,15:58,경북,경북,봉화,봉화,내성,쓰,쓰레기 소각,,0.03,20140411
2014,04,11,14:50,금,2014,4,11,17:30,강원,강원,춘천,동,품걸,입,입산자 실화추정,,0.01,20140411
2014,04,12,14:04,토,2014,4,12,16:00,강원,강원,양구,양구,월명,입,입산자 실화추정,,0.2,20140412
2014,04,12,03:40,토,2014,4,12,06:44,경북,경북,상주,은척,하흘,입,입산자 실화추정,,0.1,20140412
2014,04,13,14:20,일,2014,4,13,16:10,강원,강원,홍천,북방,북방,쓰,쓰레기 소각,,0.1,20140413
2014,04,13,16:25,일,2014,4,13,18:20,경북,경북,예천,호명,금능,입,산나물 채취자추정,,0.2,20140413
2014,04,14,17:25,월,2014,4,14,18:40,경북,경북,안동,와룡,가류,입,입산자 실화추정,,0.2,20140414
2014,04,14,14:17,월,2014,4,14,17:10,남부,경북,청도,운문,신원,입,입산자 실화추정,,0.8,20140414
2014,04,15,14:04,화,2014,4,15,14:56,경북,경북,경주,내남,영계,입,입산자 실화추정,,0.05,20140415
2014,04,15,10:55,화,2014,4,15,13:15,경북,경북,칠곡,가산,용수,입,입산자 실화추정,,0.1,20140415
2014,04,15,10:45,화,2014,4,15,16:05,경북,경북,영주,부석,용암,기,농산폐기물 소각,,3.5,20140415
2014,04,15,10:37,화,2014,4,15,13:14,경북,경북,영천,청통,애련,기,농산폐기물 소각,,0.5,20140415
2014,04,16,22:57,수,2014,4,17,03:00,강원,강원,춘천,동,만천,입,기타(직접입력),입산자 실화추정,0.09,20140416
2014,04,17,19:14,목,2014,4,17,21:15,강원,강원,춘천,동,만천,입,입산자 실화추정,,0.03,20140417
2014,04,20,13:41,금,2014,4,20,15:13,강원,강원,홍천,서,동막,입,입산자 실화추정,,0.2,20140420
2014,04,21,16:05,월,2014,4,21,17:30,강원,강원,고성,토성,인흥,입,입산자 실화추정,,0.09,20140421
2014,04,21,13:15,월,2014,4,21,15:30,강원,강원,영월,한반도,광전,입,입산자 실화추정,,0.1,20140421
2014,04,22,14:46,화,2014,4,22,17:10,북부,강원,홍천,화촌,군업,담,운전자 담뱃불 실화추정,,0.2,20140422
2014,04,22,10:35,화,2014,4,22,13:00,강원,강원,인제,북,한계,입,입산자 실화추정,,0.05,20140422
2014,04,23,13:30,수,2014,4,23,16:40,북부,강원,춘천,남,추곡,입,입산자 실화,,0.03,20140423
2014,04,23,16:25,수,2014,4,23,17:18,경북,경북,상주,공성,엄오,입,입산자 실화추정,,0.2,20140423
2014,04,24,18:39,목,2014,4,24,22:25,동부,강원,영월,수주,법흥,기,원인미상,,0.9,20140424
2014,04,24,18:10,목,2014,4,24,19:30,강원,강원,춘천,남,행촌,입,입산자실화,,0.06,20140424
2014,04,24,15:20,목,2014,4,24,18:00,북부,강원,춘천,동산,원창,입,입산자 실화,,0.05,20140424
2014,04,24,15:19,목,2014,4,24,22:30,경북,경북,영주,이산,지동,기,육묘장 전기누전,,14.3,20140424
2014,04,24,12:54,목,2014,4,24,18:30,동부,강원,영월,수주,두산,기,원인미상,,1.0,20140424
2014,04,24,12:05,목,2014,4,24,15:15,북부,강원,횡성,우천,정금,입,입산자 실화,,0.4,20140424
2014,04,24,10:50,목,2014,4,24,20:30,북부,강원,홍천,서석,검산,입,산나물 채취자 실화추정,,2.5,20140424
2014,04,25,20:20,금,2014,4,25,21:40,강원,강원,화천,화천,아,담,담뱃불 실화추정,,0.1,20140425
2014,04,25,15:28,금,2014,4,25,19:17,경북,경북,봉화,법전,소천,입,입산자 실화추정,,0.5,20140425
2014,04,25,14:10,금,2014,4,25,15:10,강원,강원,양양,현남,후포매,입,입산자 실화추정,,0.04,20140425
2014,04,25,10:24,금,2014,4,25,12:15,강원,강원,삼척,등봉,,기,농산폐기물 소각,,0.5,20140425
2014,04,26,15:10,토,2014,4,26,17:50,북부,강원,양구,남,명곶,입,입산자 실화,,0.1,20140426
2014,04,26,14:29,토,2014,4,26,19:10,경북,경북,울진,북,나곡,기,원인미상,,1.0,20140426
2014,04,26,13:20,토,2014,4,26,16:00,강원,강원,영월,한반도,광전,입,입산자 실화추정,,0.1,20140426
2014,04,26,10:40,토,2014,4,26,12:37,동부,강원,평창,용평,속사,기,원인미상,,0.3,20140426
2014,04,27,15:25,일,2014,4,27,16:35,강원,강원,양양,현남,입암,입,입산자 실화추정,,0.01,20140427
2014,05,3,11:50,토,2014,5,3,14:30,남부,경북,봉화,소천,남회룡,기,기타(직접입력),조사중,0.2,2014053
2014,05,4,18:42,일,2014,5,4,21:17,강원,강원,홍천,동,속초,입,등산객실화,,0.1,2014054
2014,05,5,19:10,공,2014,5,5,21:00,강원,강원,양구,동,원당,입,기타(직접입력),입산자실화 추정,0.05,2014055
2014,05,6,18:20,공,2014,5,6,20:40,강원,강원,영월,영월,정양,쓰,쓰레기소각,,0.3,2014056
2014,05,9,16:12,금,2014,5,9,18:25,강원,강원,삼척,노곡,주지,입,산나물채취객실화,,0.3,2014059
2014,05,10,15:02,토,2014,5,10,17:48,동부,강원,영월,북,덕상,입,기타(직접입력),입산자 실화추정,0.5,20140510
2014,05,11,16:36,일,2014,5,11,18:00,강원,강원,인제,남,부평,입,기타(직접입력),입산자 실화추정,0.03,20140511
2014,05,11,14:16,일,2014,5,11,16:11,경북,경북,군위,고로,인곡,입,기타(직접입력),입산자 실화추정,0.1,20140511
2014,05,13,11:19,화,2014,5,13,13:30,강원,강원,고성,간성,광산,기,작업장실화,,0.5,20140513
2014,05,14,18:24,수,2014,5,14,19:40,동부,강원,정선,임계,가목,입,기타(직접입력),입산자 실화추정,0.1,20140514
2014,05,17,11:50,토,2014,5,17,14:50,경북,경북,영주,풍기,금계,기,기타(직접입력),원인미상,0.01,20140517
2014,05,22,15:20,목,2014,5,22,16:50,경북,경북,봉화,명호,풍호,입,등산객실화,,0.1,20140522
2014,05,22,12:15,목,2014,5,22,14:00,경북,경북,경주,현곡,소현,입,등산객실화,,0.02,20140522
